recv_time_ms,snapshot_id,seq_num,server_ts,latency_ms,jitter_ms
1765313842413,1350,1350,1765313842413,0,55
1765313842467,1351,1351,1765313842467,0,54
1765313842518,1352,1352,1765313842518,0,51
1765313842570,1353,1353,1765313842569,1,51
1765313842623,1354,1354,1765313842622,1,52
1765313842674,1355,1355,1765313842674,0,51
1765313842725,1356,1356,1765313842725,0,51
1765313842780,1357,1357,1765313842780,0,55
1765313842835,1358,1358,1765313842835,0,55
1765313842888,1359,1359,1765313842888,0,53
1765313842941,1360,1360,1765313842941,0,53
1765313842993,1361,1361,1765313842993,0,52
1765313843046,1362,1362,1765313843046,0,53
1765313843101,1363,1363,1765313843100,1,54
1765313843154,1364,1364,1765313843154,0,53
1765313843210,1365,1365,1765313843209,1,55
1765313843264,1366,1366,1765313843264,0,54
1765313843315,1367,1367,1765313843315,0,51
1765313843368,1368,1368,1765313843368,0,53
1765313843422,1369,1369,1765313843422,0,54
1765313843475,1370,1370,1765313843475,0,53
1765313843530,1371,1371,1765313843530,0,55
1765313843584,1372,1372,1765313843584,0,54
1765313843634,1373,1373,1765313843634,0,50
1765313843685,1374,1374,1765313843685,0,51
1765313843740,1375,1375,1765313843740,0,55
1765313843793,1376,1376,1765313843793,0,53
1765313843843,1377,1377,1765313843843,0,50
1765313843894,1378,1378,1765313843894,0,51
1765313843949,1379,1379,1765313843949,0,55
1765313844003,1380,1380,1765313844003,0,54
1765313844058,1381,1381,1765313844057,1,54
1765313844108,1382,1382,1765313844108,0,50
1765313844163,1383,1383,1765313844163,0,55
1765313844218,1384,1384,1765313844218,0,55
1765313844270,1385,1385,1765313844270,0,52
1765313844323,1386,1386,1765313844323,0,53
1765313844378,1387,1387,1765313844378,0,55
1765313844433,1388,1388,1765313844433,0,55
1765313844488,1389,1389,1765313844488,0,55
1765313844543,1390,1390,1765313844543,0,55
1765313844598,1391,1391,1765313844598,0,55
1765313844651,1392,1392,1765313844651,0,53
1765313844703,1393,1393,1765313844703,0,52
1765313844758,1394,1394,1765313844758,0,55
1765313844809,1395,1395,1765313844809,0,51
1765313844863,1396,1396,1765313844863,0,54
1765313844916,1397,1397,1765313844915,1,52
1765313844971,1398,1398,1765313844971,0,55
1765313845026,1399,1399,1765313845025,1,54
1765313845081,1400,1400,1765313845080,1,54
1765313845135,1401,1401,1765313845135,0,54
1765313845190,1402,1402,1765313845190,0,55
1765313845245,1403,1403,1765313845245,0,55
1765313845300,1404,1404,1765313845300,0,55
1765313845355,1405,1405,1765313845355,0,55
1765313845409,1406,1406,1765313845409,0,54
1765313845464,1407,1407,1765313845464,0,55
1765313845520,1408,1408,1765313845519,1,55
1765313845571,1409,1409,1765313845571,0,51
1765313845624,1410,1410,1765313845624,0,53
1765313845679,1411,1411,1765313845679,0,55
1765313845734,1412,1412,1765313845734,0,55
1765313845787,1413,1413,1765313845787,0,53
1765313845842,1414,1414,1765313845842,0,55
1765313845896,1415,1415,1765313845895,1,53
1765313845950,1416,1416,1765313845950,0,54
1765313846004,1417,1417,1765313846004,0,54
1765313846059,1418,1418,1765313846059,0,55
1765313846114,1419,1419,1765313846114,0,55
1765313846169,1420,1420,1765313846169,0,55
1765313846221,1421,1421,1765313846221,0,52
1765313846276,1422,1422,1765313846276,0,55
1765313846330,1423,1423,1765313846330,0,54
1765313846385,1424,1424,1765313846385,0,55
1765313846440,1425,1425,1765313846440,0,55
1765313846494,1426,1426,1765313846494,0,54
1765313846548,1427,1427,1765313846548,0,54
1765313846602,1428,1428,1765313846601,1,53
1765313846657,1429,1429,1765313846656,1,54
1765313846709,1430,1430,1765313846709,0,52
1765313846765,1431,1431,1765313846764,1,55
1765313846819,1432,1432,1765313846819,0,54
1765313846874,1433,1433,1765313846874,0,55
1765313846929,1434,1434,1765313846929,0,55
1765313846982,1435,1435,1765313846981,1,52
1765313847037,1436,1436,1765313847036,1,54
1765313847090,1437,1437,1765313847090,0,53
1765313847145,1438,1438,1765313847145,0,55
1765313847200,1439,1439,1765313847200,0,55
1765313847255,1440,1440,1765313847255,0,55
1765313847307,1441,1441,1765313847307,0,52
1765313847363,1442,1442,1765313847362,1,55
1765313847417,1443,1443,1765313847417,0,54
1765313847468,1444,1444,1765313847468,0,51
1765313847521,1445,1445,1765313847521,0,53
1765313847576,1446,1446,1765313847576,0,55
1765313847627,1447,1447,1765313847627,0,51
1765313847677,1448,1448,1765313847677,0,50
1765313847729,1449,1449,1765313847729,0,52
1765313847783,1450,1450,1765313847783,0,54
1765313847834,1451,1451,1765313847834,0,51
1765313847889,1452,1452,1765313847889,0,55
1765313847944,1453,1453,1765313847944,0,55
1765313847998,1454,1454,1765313847998,0,54
1765313848053,1455,1455,1765313848053,0,55
1765313848108,1456,1456,1765313848108,0,55
1765313848163,1457,1457,1765313848163,0,55
1765313848218,1458,1458,1765313848218,0,55
1765313848270,1459,1459,1765313848269,1,51
1765313848323,1460,1460,1765313848323,0,53
1765313848374,1461,1461,1765313848373,1,50
1765313848425,1462,1462,1765313848424,1,50
1765313848480,1463,1463,1765313848479,1,54
1765313848535,1464,1464,1765313848534,1,54
1765313848590,1465,1465,1765313848590,0,55
1765313848645,1466,1466,1765313848645,0,55
1765313848700,1467,1467,1765313848700,0,55
1765313848752,1468,1468,1765313848752,0,52
1765313848807,1469,1469,1765313848807,0,55
1765313848862,1470,1470,1765313848862,0,55
1765313848913,1471,1471,1765313848913,0,51
1765313848968,1472,1472,1765313848968,0,55
1765313849023,1473,1473,1765313849023,0,55
1765313849074,1474,1474,1765313849074,0,51
1765313849128,1475,1475,1765313849128,0,54
1765313849181,1476,1476,1765313849181,0,53
1765313849236,1477,1477,1765313849236,0,55
1765313849290,1478,1478,1765313849290,0,54
1765313849345,1479,1479,1765313849345,0,55
1765313849400,1480,1480,1765313849400,0,55
1765313849453,1481,1481,1765313849452,1,52
1765313849508,1482,1482,1765313849507,1,54
1765313849558,1483,1483,1765313849557,1,49
1765313849611,1484,1484,1765313849611,0,53
1765313849663,1485,1485,1765313849663,0,52
1765313849718,1486,1486,1765313849718,0,55
1765313849773,1487,1487,1765313849773,0,55
1765313849829,1488,1488,1765313849828,1,55
1765313849879,1489,1489,1765313849879,0,50
1765313849931,1490,1490,1765313849931,0,52
1765313849986,1491,1491,1765313849986,0,55
1765313850038,1492,1492,1765313850037,1,51
1765313850093,1493,1493,1765313850093,0,55
1765313850148,1494,1494,1765313850148,0,55
1765313850203,1495,1495,1765313850203,0,55
1765313850258,1496,1496,1765313850258,0,55
1765313850309,1497,1497,1765313850309,0,51
1765313850364,1498,1498,1765313850364,0,55
1765313850419,1499,1499,1765313850419,0,55
1765313850474,1500,1500,1765313850474,0,55
1765313850525,1501,1501,1765313850525,0,51
1765313850580,1502,1502,1765313850580,0,55
1765313850631,1503,1503,1765313850630,1,50
1765313850685,1504,1504,1765313850684,1,53
1765313850738,1505,1505,1765313850738,0,53
1765313850792,1506,1506,1765313850792,0,54
1765313850847,1507,1507,1765313850847,0,55
1765313850902,1508,1508,1765313850902,0,55
1765313850955,1509,1509,1765313850955,0,53
1765313851008,1510,1510,1765313851008,0,53
1765313851062,1511,1511,1765313851062,0,54
1765313851114,1512,1512,1765313851114,0,52
1765313851169,1513,1513,1765313851169,0,55
1765313851224,1514,1514,1765313851224,0,55
1765313851278,1515,1515,1765313851277,1,53
1765313851333,1516,1516,1765313851332,1,54
1765313851386,1517,1517,1765313851386,0,53
1765313851441,1518,1518,1765313851441,0,55
1765313851496,1519,1519,1765313851496,0,55
1765313851551,1520,1520,1765313851551,0,55
1765313851602,1521,1521,1765313851602,0,51
1765313851657,1522,1522,1765313851657,0,55
1765313851709,1523,1523,1765313851708,1,51
1765313851764,1524,1524,1765313851763,1,54
1765313851818,1525,1525,1765313851818,0,54
1765313851873,1526,1526,1765313851873,0,55
1765313851926,1527,1527,1765313851925,1,52
1765313851976,1528,1528,1765313851976,0,50
1765313852031,1529,1529,1765313852031,0,55
1765313852087,1530,1530,1765313852086,1,55
1765313852142,1531,1531,1765313852141,1,54
1765313852197,1532,1532,1765313852196,1,54
1765313852251,1533,1533,1765313852250,1,53
1765313852302,1534,1534,1765313852301,1,50
1765313852355,1535,1535,1765313852355,0,53
1765313852406,1536,1536,1765313852406,0,51
1765313852461,1537,1537,1765313852461,0,55
1765313852516,1538,1538,1765313852516,0,55
1765313852571,1539,1539,1765313852570,1,54
1765313852626,1540,1540,1765313852625,1,54
1765313852679,1541,1541,1765313852679,0,53
