recv_time_ms,snapshot_id,grid_state
1765313895669,2342,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895724,2343,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895779,2344,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895834,2345,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895885,2346,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895940,2347,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313895993,2348,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896046,2349,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896101,2350,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896156,2351,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896211,2352,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896263,2353,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896317,2354,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896373,2355,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896427,2356,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896477,2357,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896532,2358,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896586,2359,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896640,2360,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896691,2361,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896746,2362,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896801,2363,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896852,2364,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896907,2365,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313896962,2366,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897016,2367,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897072,2368,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897122,2369,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897177,2370,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897228,2371,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897279,2372,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897333,2373,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897386,2374,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897438,2375,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897493,2376,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897545,2377,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897595,2378,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897650,2379,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897701,2380,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897753,2381,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897808,2382,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
1765313897860,2383,"1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,2,1,0,0,1,1,1,1,1,1,2,1,0,0"
